Method,AvgCR,WAvgCR,AvgSSP,WAvgSSP,CRP,TotalCT_h,TotalDT_h,AvgCPM_GB,AvgDPM_GB
FM-Delta,2.038,1.571,32.789,27.24,88.936,0.031,0.032,0.69,0.846
MSDZip,1.494,1.42,26.466,24.63,40.681,115.142,114.258,13.413,14.215
PAC,1.494,1.42,26.448,24.615,40.689,57.104,71.617,13.405,14.11
ZPAQ,1.489,1.415,26.185,24.362,40.694,0.808,0.819,8.286,7.697
TRACE,1.488,1.414,26.173,24.336,40.579,46.786,70.071,13.405,14.11
DZip,1.449,1.395,24.346,23.688,39.638,232.644,81.54,15.008,8.848
DeepZip,1.449,1.395,24.342,23.685,39.637,169.898,23.369,51.028,8.484
BSC,1.434,1.361,22.711,20.862,42.677,0.029,0.02,4.479,2.561
PPMD,1.378,1.307,19.305,17.329,43.456,1.051,1.118,0.257,0.256
LZMA,1.373,1.306,19.827,17.952,40.969,0.671,0.061,0.667,0.069
LZMA2,1.368,1.301,19.648,17.735,40.566,0.233,0.021,3.264,1.412
Brotli,1.346,1.281,18.555,16.572,39.901,4.943,0.021,0.215,0.019
ZipNN,1.314,1.276,19.901,18.528,27.155,0.008,0.006,3.164,1.799
BZip2,1.343,1.272,16.65,14.586,45.006,0.193,0.102,0.007,0.005
PBZip2,1.343,1.272,16.644,14.58,45.001,0.015,0.01,0.133,0.11
MPC,1.292,1.244,17.933,16.205,30.803,0.004,0.004,1.506,1.506
ZSTD,1.302,1.243,16.907,14.914,36.518,0.641,0.004,0.256,0.012
PIGZ,1.256,1.208,15.539,13.662,30.702,0.017,0.01,0.014,0.002
FPZip,1.124,1.13,10.761,11.125,6.163,0.04,0.036,0.897,0.879
Lizard,1.176,1.118,8.025,5.522,37.262,0.368,0.004,0.17,0.04
LZOP,1.136,1.095,7.513,5.487,27.904,0.237,0.004,0.002,0.002
LZO,1.135,1.094,7.488,5.472,27.696,0.219,0.004,0.002,0.002
SPDP,1.12,1.078,6.139,3.987,28.283,0.01,0.011,0.018,0.018
SnZip,1.055,1.036,3.851,2.524,13.798,0.005,0.003,0.003,0.003
