ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,11198.356,1.395,28.320,55821.001,15.5058,211.520,194.040,0.0539,18.938
D1,10391.806,1.398,28.459,48296.001,13.4156,234.121,183.002,0.0508,19.051
D2,1241.607,1.090,8.272,3867.001,1.0742,202.680,16.087,0.0045,19.000
D3,1168.729,1.091,8.302,3641.001,1.0114,202.574,15.068,0.0042,19.109
D4,1077.035,1.097,8.812,3318.050,0.9217,207.289,14.079,0.0039,19.078
D5,673.971,1.398,28.478,2872.011,0.7978,205.063,12.097,0.0034,19.109
D6,579.131,1.163,14.048,1949.094,0.5414,278.359,9.021,0.0025,19.031
D7,187.117,2.742,63.536,1204.019,0.3344,257.719,3.087,0.0009,19.035
D8,232.817,1.097,8.858,725.015,0.2014,202.547,3.098,0.0009,19.074
D9,77.343,1.089,8.136,217.038,0.0603,202.574,2.004,0.0006,19.051
