ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10402.416,1.502,33.414,121.049,0.0336,11730.039,75.064,0.0209,6989.559
D1,9654.963,1.504,33.532,118.093,0.0328,11859.797,72.007,0.0200,6447.070
D2,1183.735,1.143,12.547,22.002,0.0061,8007.629,12.043,0.0033,3657.746
D3,1112.350,1.146,12.726,20.005,0.0056,7507.965,12.063,0.0034,3674.605
D4,1027.102,1.150,13.039,18.047,0.0050,6928.461,12.045,0.0033,3598.594
D5,626.335,1.505,33.533,11.082,0.0031,5529.820,8.023,0.0022,3492.125
D6,553.065,1.218,17.917,11.039,0.0031,3901.902,8.089,0.0022,2803.414
D7,169.722,3.024,66.926,5.031,0.0014,2963.590,4.011,0.0011,2088.203
D8,221.880,1.151,13.140,9.037,0.0025,1422.738,7.061,0.0020,1270.703
D9,74.207,1.135,11.861,8.047,0.0022,430.164,7.028,0.0020,397.281
