ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10836.847,1.442,30.634,2016.087,0.5600,8.641,904.024,0.2511,4.625
D1,10067.848,1.443,30.689,1686.004,0.4683,7.730,786.076,0.2184,4.746
D2,1284.675,1.054,5.090,158.057,0.0439,7.699,82.058,0.0228,4.539
D3,1208.456,1.055,5.185,147.067,0.0409,7.391,82.004,0.0228,4.805
D4,1117.469,1.057,5.388,136.095,0.0378,7.465,72.026,0.0200,4.566
D5,654.186,1.440,30.577,95.017,0.0264,7.465,49.052,0.0136,4.566
D6,599.686,1.124,10.998,76.022,0.0211,7.398,40.030,0.0111,4.563
D7,176.419,2.909,65.621,42.005,0.0117,7.418,19.024,0.0053,4.629
D8,241.390,1.058,5.502,30.024,0.0083,7.391,16.030,0.0045,4.684
D9,80.119,1.051,4.839,10.077,0.0028,7.402,6.016,0.0017,4.629
