ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10304.880,1.515,34.039,1528851.600,424.6810,254205.649,164379.600,45.6610,157622.792
D1,9575.263,1.516,34.080,1421542.800,394.8730,236373.480,151203.600,42.0010,146616.540
D2,1128.736,1.199,16.611,132411.600,36.7810,89363.719,18766.800,5.2130,14371.363
D3,1062.526,1.200,16.635,124527.600,34.5910,84228.199,17647.200,4.9020,13582.602
D4,980.554,1.205,16.980,115095.600,31.9710,77929.996,15822.000,4.3950,12648.289
D5,623.685,1.511,33.814,91746.000,25.4850,62249.426,12142.800,3.3730,10262.445
D6,526.029,1.281,21.929,65923.200,18.3120,45088.262,9255.600,2.5710,7577.199
D7,174.679,2.938,65.960,48776.400,13.5490,34626.488,5749.200,1.5970,5975.504
D8,217.446,1.175,14.876,24904.800,6.9180,17843.809,3538.800,0.9830,3400.824
D9,77.513,1.086,7.934,8254.800,2.2930,6689.785,1206.000,0.3350,1686.348
