ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10305.166,1.516,34.037,2104311.600,584.5310,293406.300,654926.400,181.9240,157749.871
D1,9575.262,1.517,34.080,1954670.400,542.9640,272850.785,608209.200,168.9470,146764.127
D2,1128.731,1.199,16.611,179935.200,49.9820,26103.855,64155.600,17.8210,14757.313
D3,1062.457,1.200,16.640,175489.200,48.7470,24603.230,59958.000,16.6550,13999.555
D4,980.547,1.205,16.981,155786.400,43.2740,22826.652,55443.600,15.4010,13003.625
D5,623.671,1.511,33.816,124516.800,34.5880,18289.094,43052.400,11.9590,10644.590
D6,525.932,1.281,21.944,89607.600,24.8910,13187.078,31377.600,8.7160,7927.164
D7,174.667,2.938,65.963,67208.400,18.6690,10138.887,23360.400,6.4890,6339.023
D8,217.444,1.175,14.876,33739.200,9.3720,5265.609,12110.400,3.3640,3755.379
D9,77.512,1.086,7.935,11235.600,3.1210,2530.395,4086.000,1.1350,2052.535
