ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,9349.271,1.671,40.156,235.215,0.0653,14162.855,30.412,0.0084,12250.572
D1,8674.633,1.674,40.281,218.456,0.0607,12905.725,28.154,0.0078,10991.819
D2,1079.632,1.254,20.238,22.767,0.0063,1270.387,23.505,0.0065,1344.387
D3,869.666,1.466,31.767,20.788,0.0058,946.629,20.871,0.0058,1285.051
D4,1029.047,1.148,12.875,15.497,0.0043,887.906,15.747,0.0044,876.273
D5,575.581,1.637,38.919,32.304,0.0090,1415.828,31.885,0.0089,1863.391
D6,495.445,1.360,26.469,10.119,0.0028,543.406,10.595,0.0029,687.840
D7,421.151,1.218,17.930,8.450,0.0023,457.852,8.902,0.0025,517.234
D8,37.461,6.819,85.335,1.653,0.0005,61.102,2.027,0.0006,269.090
D9,59.962,1.404,28.780,1.302,0.0004,67.910,1.390,0.0004,88.195
