ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,13641.837,1.145,12.679,345.124,0.0959,15526.127,351.125,0.0975,14228.394
D1,12532.936,1.159,13.719,278.154,0.0773,14118.041,254.875,0.0708,14252.570
D2,1231.328,1.099,9.031,27.050,0.0075,1412.184,24.303,0.0068,1327.570
D3,1178.678,1.081,7.522,25.005,0.0069,1282.531,22.696,0.0063,1283.941
D4,1061.703,1.112,10.110,24.835,0.0069,1279.641,21.149,0.0059,1181.215
D5,724.986,1.300,23.064,39.174,0.0109,1821.336,33.987,0.0094,1860.613
D6,623.973,1.080,7.393,13.052,0.0036,674.160,11.901,0.0033,678.617
D7,448.396,1.144,12.621,9.505,0.0026,509.160,8.718,0.0024,526.156
D8,232.686,1.098,8.910,5.028,0.0014,274.191,4.492,0.0012,250.891
D9,77.931,1.080,7.438,1.484,0.0004,93.035,1.426,0.0004,91.902
