ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,15585.733,1.002,0.236,5193.001,1.4425,174.289,25.049,0.0070,41.875
D1,14452.705,1.005,0.502,4075.001,1.1319,174.191,30.041,0.0083,41.910
D2,1353.549,1.000,0.002,210.034,0.0583,173.832,2.078,0.0006,41.633
D3,1274.504,1.000,0.003,197.097,0.0547,173.957,2.065,0.0006,41.664
D4,1173.898,1.006,0.611,185.008,0.0514,173.867,2.060,0.0006,41.688
D5,931.735,1.011,1.124,261.097,0.0725,173.824,2.036,0.0006,41.902
D6,638.306,1.056,5.266,139.081,0.0386,174.219,2.009,0.0006,41.621
D7,219.828,2.334,57.162,281.034,0.0781,171.512,2.023,0.0006,39.367
D8,255.436,1.000,0.004,40.089,0.0111,173.844,1.038,0.0003,41.750
D9,84.171,1.000,0.026,13.081,0.0036,173.848,1.017,0.0003,41.801
