ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,11050.576,1.414,29.266,11451.001,3.1808,685.668,704.058,0.1956,72042.000
D1,10259.512,1.416,29.370,10449.001,2.9025,685.905,655.060,0.1820,72312.000
D2,1223.331,1.106,9.622,390.016,0.1083,685.004,51.099,0.0142,71912.000
D3,1150.286,1.108,9.749,360.091,0.1000,685.055,49.013,0.0136,72012.000
D4,1060.260,1.114,10.232,332.084,0.0922,685.164,45.031,0.0125,72032.000
D5,660.084,1.428,29.951,572.037,0.1589,685.066,29.022,0.0081,72064.000
D6,569.954,1.182,15.410,233.034,0.0647,685.086,24.052,0.0067,71956.000
D7,180.981,2.835,64.732,446.073,0.1239,685.102,9.063,0.0025,72148.000
D8,229.287,1.114,10.240,67.014,0.0186,685.063,10.051,0.0028,72168.000
D9,76.885,1.095,8.680,16.087,0.0045,671.102,3.098,0.0009,72044.000
