ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10979.638,1.423,29.720,1435.053,0.3986,263.105,1457.037,0.4047,262.220
D1,10196.666,1.425,29.802,1187.048,0.3297,262.908,1352.245,0.3756,262.091
D2,1239.498,1.092,8.428,883.004,0.2453,262.988,952.037,0.2645,262.320
D3,1165.229,1.094,8.577,792.099,0.2200,262.984,843.099,0.2342,262.344
D4,1074.658,1.099,9.013,718.009,0.1994,263.109,763.029,0.2120,262.207
D5,648.420,1.453,31.189,570.064,0.1584,263.063,603.081,0.1675,262.289
D6,577.833,1.166,14.241,428.067,0.1189,263.152,452.063,0.1256,262.199
D7,175.008,2.932,65.896,163.078,0.0453,263.164,171.004,0.0475,262.285
D8,232.003,1.101,9.177,172.091,0.0478,263.164,182.037,0.0506,262.297
D9,77.524,1.086,7.921,58.008,0.0161,263.387,60.097,0.0167,262.273
