ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,14674.087,1.065,6.072,2220.037,0.6167,2.344,72.041,0.0200,1.633
D1,13615.771,1.067,6.264,1985.053,0.5514,2.121,112.033,0.0311,1.652
D2,1353.590,1.000,-0.001,105.069,0.0292,2.164,2.036,0.0006,1.656
D3,1274.544,1.000,0.000,96.025,0.0267,2.355,2.040,0.0006,1.668
D4,1177.958,1.003,0.267,88.044,0.0245,2.336,2.030,0.0006,1.641
D5,880.824,1.070,6.526,124.058,0.0345,2.164,4.078,0.0011,1.672
D6,646.754,1.042,4.012,64.046,0.0178,2.168,1.099,0.0003,1.766
D7,261.309,1.964,49.079,284.006,0.0789,2.156,2.044,0.0006,1.766
D8,255.444,1.000,0.000,19.012,0.0053,2.168,1.028,0.0003,1.672
D9,84.174,1.000,0.022,7.009,0.0019,2.125,1.009,0.0003,1.609
