ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,14674.325,1.065,6.070,2312.037,0.6422,2.539,98.051,0.0272,1.730
D1,13616.000,1.067,6.263,2110.082,0.5861,2.691,127.043,0.0353,1.879
D2,1353.610,1.000,-0.003,95.002,0.0264,2.402,2.039,0.0006,1.629
D3,1274.563,1.000,-0.001,85.092,0.0236,2.391,2.029,0.0006,1.641
D4,1177.976,1.003,0.265,79.071,0.0220,2.391,2.020,0.0006,1.645
D5,880.838,1.070,6.525,131.047,0.0364,2.332,4.065,0.0011,1.625
D6,646.764,1.042,4.010,60.008,0.0167,2.371,1.097,0.0003,1.672
D7,260.249,1.972,49.285,378.071,0.1050,2.395,2.043,0.0006,1.625
D8,255.448,1.000,-0.001,18.025,0.0050,2.367,1.026,0.0003,1.629
D9,84.176,1.000,0.020,6.067,0.0017,2.355,1.009,0.0003,1.680
