ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10235.047,1.526,34.486,995140.800,276.4280,265970.456,982364.400,272.8790,265852.720
D1,9500.117,1.529,34.598,912099.600,253.3610,247323.905,914155.200,253.9320,247603.148
D2,1120.435,1.208,17.224,88113.600,24.4760,23395.863,87692.400,24.3590,24237.234
D3,1054.089,1.209,17.297,82270.800,22.8530,22051.555,85597.200,23.7770,22878.762
D4,973.150,1.214,17.607,87130.800,24.2030,20462.520,78487.200,21.8020,21292.773
D5,616.142,1.529,34.615,54309.600,15.0860,16402.641,59317.200,16.4770,17230.957
D6,521.600,1.292,22.587,52898.400,14.6940,11838.730,46936.800,13.0380,12668.668
D7,166.663,3.079,67.522,29120.400,8.0890,9108.039,31312.800,8.6980,9945.734
D8,209.873,1.217,17.841,15508.800,4.3080,4727.117,16470.000,4.5750,5557.809
D9,69.851,1.205,17.034,5158.800,1.4330,1892.922,5518.800,1.5330,2646.789
