ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10234.953,1.526,34.486,511599.600,142.1110,265944.756,654213.600,181.7260,266626.138
D1,9500.113,1.529,34.598,482450.400,134.0140,247298.700,608101.200,168.9170,245649.535
D2,1120.526,1.208,17.217,44233.200,12.2870,23395.535,55951.200,15.5420,24079.910
D3,1054.166,1.209,17.291,41493.600,11.5260,22052.973,54183.600,15.0510,22721.988
D4,973.124,1.214,17.609,41000.400,11.3890,20464.078,49474.800,13.7430,21143.766
D5,616.300,1.529,34.598,30333.600,8.4260,16405.152,38228.400,10.6190,17063.484
D6,522.253,1.290,22.490,21841.200,6.0670,11840.211,27190.800,7.5530,12516.703
D7,166.683,3.079,67.519,14698.800,4.0830,9109.898,18370.800,5.1030,9776.340
D8,209.893,1.217,17.833,8942.400,2.4840,4728.676,10810.800,3.0030,5391.102
D9,69.858,1.205,17.026,3027.600,0.8410,1815.543,3614.400,1.0040,2485.484
