ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10837.760,1.442,30.628,171.041,0.0475,1546.418,191.025,0.0531,2027.598
D1,10068.745,1.443,30.683,97.041,0.0270,153.668,54.013,0.0150,109.008
D2,1284.756,1.054,5.084,11.063,0.0031,160.094,7.024,0.0020,115.781
D3,1208.534,1.055,5.179,11.002,0.0031,159.930,6.088,0.0017,115.582
D4,1117.542,1.057,5.382,10.016,0.0028,153.000,6.068,0.0017,115.609
D5,654.241,1.440,30.571,7.074,0.0020,152.785,5.003,0.0014,108.477
D6,599.725,1.123,10.992,6.026,0.0017,160.031,4.026,0.0011,115.508
D7,176.447,2.908,65.616,4.024,0.0011,143.004,3.017,0.0008,97.762
D8,241.404,1.058,5.497,3.023,0.0008,159.648,2.045,0.0006,115.633
D9,80.123,1.051,4.833,1.089,0.0003,156.469,1.052,0.0003,114.633
