ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,12455.639,1.254,20.272,167.022,0.0464,14.637,150.071,0.0417,2.391
D1,11564.542,1.256,20.385,85.092,0.0236,14.734,82.096,0.0228,2.535
D2,1257.830,1.076,7.073,5.009,0.0014,15.266,7.003,0.0019,2.449
D3,1183.400,1.077,7.151,4.085,0.0011,14.773,6.070,0.0017,2.563
D4,1092.601,1.081,7.494,4.058,0.0011,15.117,6.032,0.0017,2.434
D5,747.982,1.260,20.624,6.058,0.0017,14.023,6.026,0.0017,2.340
D6,598.134,1.126,11.228,4.064,0.0011,15.180,4.020,0.0011,2.484
D7,226.682,2.264,55.826,36.000,0.0100,12.656,3.003,0.0008,2.363
D8,235.577,1.084,7.778,1.083,0.0003,14.098,2.016,0.0006,2.309
D9,78.186,1.077,7.135,1.029,0.0003,13.688,1.042,0.0003,2.418
