ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10773.873,1.450,31.037,11468.001,3.1856,263.363,13926.001,3.8683,262.277
D1,9999.938,1.453,31.157,8667.001,2.4075,263.223,8616.001,2.3933,262.273
D2,1183.735,1.143,12.547,22.002,0.0061,263.105,12.043,0.0033,262.220
D3,1112.350,1.146,12.726,20.005,0.0056,263.055,12.063,0.0034,262.220
D4,1027.102,1.150,13.039,18.047,0.0050,263.109,12.045,0.0033,262.207
D5,626.335,1.505,33.533,11.082,0.0031,263.063,8.023,0.0022,262.289
D6,553.065,1.218,17.917,11.039,0.0031,263.152,8.089,0.0022,262.199
D7,169.722,3.024,66.926,5.031,0.0014,263.164,4.011,0.0011,262.285
D8,221.880,1.151,13.140,9.037,0.0025,263.164,7.061,0.0020,262.297
D9,74.207,1.135,11.861,8.047,0.0022,263.387,7.028,0.0020,262.273
