ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,15622.295,1.000,0.002,256.015,0.0711,3.242,199.008,0.0553,3.105
D1,14518.026,1.001,0.053,12.078,0.0034,3.387,11.075,0.0031,3.379
D2,1353.735,1.000,-0.012,2.007,0.0006,3.449,1.097,0.0003,3.258
D3,1274.682,1.000,-0.011,2.004,0.0006,3.262,1.091,0.0003,3.133
D4,1180.973,1.000,0.012,1.095,0.0003,3.320,1.084,0.0003,3.133
D5,941.873,1.000,0.048,1.077,0.0003,3.270,1.066,0.0003,3.133
D6,672.535,1.002,0.186,1.078,0.0003,3.266,1.058,0.0003,3.199
D7,356.209,1.441,30.585,8.051,0.0022,3.273,5.055,0.0014,3.379
D8,255.471,1.000,-0.010,1.023,0.0003,3.270,1.021,0.0003,3.258
D9,84.184,1.000,0.011,1.009,0.0003,3.270,1.008,0.0003,3.133
