ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,15752.021,0.992,-0.828,117.938,0.0328,18.797,105.281,0.0292,18.680
D1,14655.872,0.991,-0.896,103.553,0.0288,18.781,98.819,0.0274,18.652
D2,1360.904,0.995,-0.542,7.637,0.0021,18.637,7.875,0.0022,18.707
D3,1281.766,0.994,-0.567,7.326,0.0020,18.730,7.400,0.0021,18.703
D4,1180.478,1.001,0.054,8.981,0.0025,18.691,10.367,0.0029,18.754
D5,948.053,0.994,-0.608,5.792,0.0016,18.785,5.839,0.0016,18.754
D6,652.147,1.033,3.212,3.894,0.0011,18.707,3.889,0.0011,18.703
D7,262.136,1.958,48.917,2.037,0.0006,18.695,2.184,0.0006,18.680
D8,257.742,0.991,-0.899,1.562,0.0004,18.863,1.604,0.0004,18.832
D9,84.573,0.996,-0.451,0.525,0.0001,18.691,0.530,0.0001,18.727
