ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10279.142,1.520,34.204,490158.000,136.1550,265942.601,653806.800,181.6130,265206.588
D1,9530.574,1.524,34.388,456609.600,126.8360,247318.511,607006.800,168.6130,245661.007
D2,1122.250,1.206,17.090,36612.000,10.1700,23396.035,52480.800,14.5780,24116.273
D3,1055.829,1.207,17.160,34218.000,9.5050,22053.219,50907.600,14.1410,22776.848
D4,979.953,1.205,17.031,32007.600,8.8910,20465.324,54615.600,15.1710,21182.957
D5,618.912,1.523,34.321,25552.800,7.0980,16404.906,37684.800,10.4680,17127.316
D6,525.129,1.283,22.063,18068.400,5.0190,11840.672,26769.600,7.4360,12563.965
D7,167.605,3.062,67.339,12740.400,3.5390,9109.961,16678.800,4.6330,9829.938
D8,210.564,1.213,17.570,6944.400,1.9290,4728.348,9806.400,2.7240,5450.996
D9,70.037,1.202,16.813,2282.400,0.6340,1816.645,3308.400,0.9190,2537.750
