ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10418.782,1.499,33.310,67.123,0.0186,52516.965,25.722,0.0071,26465.961
D1,9674.274,1.501,33.399,34.620,0.0096,48834.598,20.711,0.0058,24625.793
D2,1201.308,1.127,11.249,4.895,0.0014,5504.418,3.653,0.0010,2972.387
D3,1131.047,1.127,11.259,4.833,0.0013,5213.492,3.777,0.0010,2823.527
D4,1048.611,1.126,11.218,4.563,0.0013,4861.184,3.356,0.0009,2646.832
D5,627.736,1.501,33.384,3.750,0.0010,3517.348,2.845,0.0008,1987.340
D6,571.835,1.178,15.131,3.246,0.0009,2885.613,2.739,0.0008,1663.801
D7,232.992,2.202,54.597,2.813,0.0008,1894.320,2.299,0.0006,1165.836
D8,226.462,1.128,11.346,2.358,0.0007,1349.789,2.163,0.0006,899.539
D9,74.913,1.124,11.021,2.042,0.0006,695.777,1.889,0.0005,576.074
