ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,10269.523,1.521,34.265,4395.001,1.2208,14044.047,4529.001,1.2581,11454.223
D1,9530.586,1.524,34.388,4881.001,1.3558,14090.086,4777.001,1.3269,11469.902
D2,1124.051,1.204,16.957,568.018,0.1578,13087.289,588.002,0.1633,11901.344
D3,1057.712,1.205,17.013,562.038,0.1561,13051.684,561.074,0.1559,11985.613
D4,975.176,1.211,17.436,541.014,0.1503,12876.594,551.096,0.1531,11974.086
D5,618.214,1.524,34.395,272.038,0.0756,11011.016,264.059,0.0733,10417.055
D6,525.486,1.282,22.010,285.088,0.0792,8210.523,299.064,0.0831,7628.082
D7,167.264,3.068,67.405,178.065,0.0495,5243.508,178.029,0.0495,5040.164
D8,210.661,1.213,17.532,260.041,0.0722,3212.211,262.057,0.0728,3003.844
D9,70.108,1.201,16.729,243.034,0.0675,1183.359,244.035,0.0678,1106.754
