ID,CS(MB),CR,SSP(%),CT(s),CT(h),CPM(MB),DT(s),DT(h),DPM(MB)
D0,11861.774,1.317,24.073,9360.001,2.6000,265.449,102.020,0.0283,13.309
D1,11001.427,1.320,24.262,7329.001,2.0358,264.180,67.025,0.0186,13.414
D2,1255.875,1.078,7.218,429.074,0.1192,272.875,2.089,0.0006,13.016
D3,1181.509,1.079,7.300,378.036,0.1050,272.883,2.049,0.0006,12.488
D4,1087.272,1.086,7.945,341.040,0.0947,273.188,2.039,0.0006,12.617
D5,713.028,1.322,24.333,444.017,0.1233,262.879,4.064,0.0011,12.594
D6,589.123,1.144,12.565,242.097,0.0672,273.508,1.098,0.0003,12.277
D7,201.799,2.543,60.675,374.067,0.1039,238.855,2.034,0.0006,13.098
D8,235.118,1.086,7.958,75.041,0.0208,272.875,1.031,0.0003,13.008
D9,78.077,1.078,7.264,24.083,0.0067,228.598,1.014,0.0003,12.227
